,pso0,pso1,pso2,pso3,pso4,ata0,ata1,ata2,ata3,ata4,gsa0,gsa1,gsa2,gsa3,gsa4,ffa0,ffa1,ffa2,ffa3,ffa4,rio0,rio1,rio2,rio3,rio4,de0,de1,de2,de3,de4,saa0,saa1,saa2,saa3,saa4
bbob_f002_i01_d05,229.13806680224903,0.0,0.0,0.0,0.0,0.006315222582486513,0.0,0.0,0.006419667082838032,0.0,8.63794379893819,4.9770327232295415,2.964994365653297,21.56005768787848,21.56005768787848,1.1750289600447559,0.4656702013307381,0.3747782332742607,1.0128937659304047,0.5806566873327105,111076.55119800399,0.0,7.135477530715311,7784.288861314653,3352.418701178912,0.0,0.0,0.0,0.0,0.0,1.8709751413338627,1.2395546999115747,5.298546737057535,5.298546737057535,1.8709751413338627
bbob_f003_i01_d05,0.9949590504266249,0.9949590504266249,1.3266120661243879,0.0,1.658265085155487,2.321569447277985,1.658265085155487,0.331653015697763,2.321571123217685,0.9949590504266249,33.73370918482715,31.415383561107205,10.751908894781081,2.3194104651856833,2.3194104651856833,29.517714575723044,11.939652164485778,12.934482277674022,7.629379705291626,7.6281580131316105,51.24480358083863,20.412957264451602,16.571925648286935,49.45762044590041,43.852529934034486,0.00017042641841650644,0.0,0.0,0.0,0.0,34.58795601865702,19.921005097411637,3.7884406923735128,3.7884406923735128,34.58795601865702
bbob_f004_i01_d05,3.3165285010379457,4.974790237647369,2.653222462975748,0.0,5.969744241775554,9.949573753056617,2.653222462975748,1.658265085155487,5.30644661522454,2.653222462975748,52.28274119915856,58.85553625882009,11.604205472734975,5.910592174808111,5.910592174808111,66.9935071052884,59.69698916491543,58.3704972976866,27.196214726340298,27.19556572764323,89.50000184628414,14.026837887564133,32.913020449049405,65.16571028536889,42.157947316323565,4.6379121859748316e-05,0.0,0.331653015697763,0.0,3.601673123891184e-06,16.763946226846883,4.892345273773913,2.214183568003117,2.214183568003117,16.763946226846883
bbob_f005_i01_d05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bbob_f007_i01_d05,0.3056087319292544,0.0,0.6195584050651112,0.0,0.002433110459203173,1.2248680581762177,0.15523747642383037,0.3056087319292544,0.21338958108332898,0.004866220918406346,2.4473931564563522,2.872371614702535,0.7299341277601314,0.12287940453271062,0.12287940453271062,0.18043752572517727,0.030587962127645103,0.012840696989030675,0.39012916047599805,0.046670650925202985,21.977494414515693,2.0423215849021923,3.541113094873907,6.150319732964888,6.07793888326961,0.0,0.0,0.0,0.0,0.002433110459203173,4.124699262062545,1.230209192544346,0.1606823922395885,0.1606823922395885,4.124699262062545
bbob_f008_i01_d05,0.0,0.0,1.4807323169236877,5.197374737993717e-08,0.0895456422040392,1.5568264504179297,1.3102839384195875,8.262649468330589e-08,1.4734684948034271,1.3113049597320792,0.01116534774485937,0.00011207449927042035,7.999154457631145e-05,0.00023899590188610395,0.00023899590188610395,1.3110596525418146,1.3103577204824528,1.310286610931333,1.3172524088988478,1.3104051089079292,403.9789004926513,0.3840381920494546,43.43956383063107,183.90200223604066,159.42377223488737,0.6673169645728384,0.0,0.0,0.0,1.0225461935779567,0.0015551772878552583,0.004566343391815053,0.028804257398832078,0.028804257398832078,0.0015551772878552583
bbob_f009_i01_d05,0.0,1.6892004539001941,1.3247838976185118,0.5176882949326919,9.185799273955695,78.171319693259,2.3989229916195,1.2150871000491368,1.906812647242191,1.5388168650125162,0.008873623770488356,0.0003231614778134902,6.622702073381485e-05,0.00022137569918356803,0.00022137569918356803,8.087597239618087e-05,1.573430437436703e-05,8.090270725347182e-06,1.310439214791079,3.802155570061435e-05,1281.6931726216687,1.3849786746333923,4.4100412511546665,63.53864505350602,51.222157356826905,2.8335716358724787,0.0,0.0,0.0,0.705670200195731,0.0009584930705604696,0.002252122565858864,0.028438464042494616,0.028438464042494616,0.0009584930705604696
bbob_f011_i01_d05,0.0,1.4874056356954194e-08,4.37342363763572,0.01122268345514025,0.00024484570987700255,2.769660960787031,0.0,1.2419216470031339e-08,0.5999126511641037,0.0,10.770783957993538,9.870192509943683,7.987971443529214,5.123758558623034,5.123758558623034,0.00010264791193984972,1.3122233066079994e-05,3.87007334268219e-06,4.9757977388746134e-05,9.028543383730417e-06,354.22376903335135,15.725789537865003,9.079115654829542,43.60784644721132,34.15567771432823,0.7943022092885599,0.0,0.0,0.0,3.7584467330968135e-07,7.386202918595633,2.2551332325919824,3.3706566958824973,3.3706566958824973,7.386202918595633
bbob_f012_i01_d05,30.5086956688826,10.04304184871603,22.91300709318212,1.0316449837019566,2.181226867199522,6.043142661920418,8.403506957051718,28.409396673380495,5.243230539872495,5.8420053810184145,0.16785972072943878,0.9521361199601491,0.23845309917381505,0.3774792373645444,0.3774792373645444,2.154153208951508,4.595944639233191,1.765978023313134,4.27340856636935,4.108134430921761,2611818.2282119733,2.0532833383059597,46.57160768834012,1429417.8768313434,517467.3048178817,3.2747890427431607,0.0,0.0,0.0,1.0309121361480795,0.6131729264445767,3.354258273776471,13.981571942429923,13.981571942429923,0.6131729264445767
bbob_f013_i01_d05,11.491397888381007,5.115941900271047,18.926158986067126,1.3359784939726669,6.954179839578262,9.333045525866732,7.137887463307543,8.0122784945666,5.452159607244728,9.165075758587326,1.1246572410068059,0.10290882632153735,0.061800391092093086,0.03979251091491657,0.03979251091491657,4.083321275603442,3.781184795502804,2.7491142416998833,1.0925258161423155,1.1111601088432,511.5761548036653,4.688433108238122,151.0815639142402,166.90344260861687,171.76882099412146,3.668812489996718,0.0,0.0,0.0,0.8912474433061727,0.24196355214198562,0.3776895303734105,1.0419575466695896,1.0419575466695896,0.24196355214198562
